,state,population_over_15,married_males_last_year,married_females_last_year,divorced_males_last_year,divorced_females_last_year,state,year,married_last_year,divorced_last_year
0,Alabama,3874758,37987,37530,22071.0,28381.0,01,2011,75517,50452.0
1,Alaska,565162,7766,7771,3398.0,4071.0,02,2011,15537,7469.0
2,Arizona,5129409,48065,46600,24130.0,30961.0,04,2011,94665,55091.0
3,Arkansas,2342376,25519,24025,14474.0,14026.0,05,2011,49544,28500.0
4,California,30062390,250693,238508,115216.0,124512.0,06,2011,489201,239728.0
5,Colorado,4087156,44725,41472,21597.0,23319.0,08,2011,86197,44916.0
6,Connecticut,2925822,20817,19534,13001.0,13487.0,09,2011,40351,26488.0
7,Delaware,737847,5523,5692,1931.0,2964.0,10,2011,11215,4895.0
8,District of Columbia,529068,5581,4113,3042.0,1911.0,11,2011,9694,4953.0
9,Florida,15770265,115404,114259,72892.0,80785.0,12,2011,229663,153677.0
10,Georgia,7736263,72682,71693,39877.0,42891.0,13,2011,144375,82768.0
11,Hawaii,1121353,13490,12384,4544.0,3734.0,15,2011,25874,8278.0
12,Idaho,1224412,11636,12846,6250.0,8335.0,16,2011,24482,14585.0
13,Illinois,10316699,79585,76853,44569.0,44021.0,17,2011,156438,88590.0
14,Indiana,5194347,46679,45266,28880.0,27092.0,18,2011,91945,55972.0
15,Iowa,2461674,20755,21144,13346.0,11580.0,19,2011,41899,24926.0
16,Kansas,2267066,20661,20002,10883.0,14144.0,20,2011,40663,25027.0
17,Kentucky,3518242,28555,30059,21621.0,19760.0,21,2011,58614,41381.0
18,Louisiana,3641422,29803,29112,17395.0,18130.0,22,2011,58915,35525.0
19,Maine,1107596,9215,9991,7243.0,6993.0,23,2011,19206,14236.0
20,Maryland,4717856,37730,36833,22727.0,25581.0,24,2011,74563,48308.0
21,Massachusetts,5440246,40092,39343,15849.0,20638.0,25,2011,79435,36487.0
22,Michigan,8005678,61086,64480,38505.0,39600.0,26,2011,125566,78105.0
23,Minnesota,4283571,33404,33522,15479.0,17090.0,27,2011,66926,32569.0
24,Mississippi,2350019,22446,20943,13157.0,12541.0,28,2011,43389,25698.0
25,Missouri,4841501,40977,40693,22614.0,27778.0,29,2011,81670,50392.0
26,Montana,814821,7771,7868,4472.0,5026.0,30,2011,15639,9498.0
27,Nebraska,1456792,14883,14312,7393.0,7313.0,31,2011,29195,14706.0
28,Nevada,2172537,18419,17963,11556.0,12383.0,32,2011,36382,23939.0
29,New Hampshire,1090942,8559,8366,4323.0,7677.0,33,2011,16925,12000.0
30,New Jersey,7142414,49761,45524,21590.0,26395.0,34,2011,95285,47985.0
31,New Mexico,1648114,16850,14549,9513.0,10162.0,35,2011,31399,19675.0
32,New York,15957521,117475,114694,52371.0,63905.0,36,2011,232169,116276.0
33,North Carolina,7740082,73080,71957,37583.0,40133.0,37,2011,145037,77716.0
34,North Dakota,557188,6808,6268,1877.0,2191.0,38,2011,13076,4068.0
35,Ohio,9326330,74877,74382,44322.0,46594.0,39,2011,149259,90916.0
36,Oklahoma,3007125,34315,34612,21684.0,19915.0,40,2011,68927,41599.0
37,Oregon,3154977,26040,26521,14716.0,19255.0,41,2011,52561,33971.0
38,Pennsylvania,10488199,72187,71159,37214.0,41570.0,42,2011,143346,78784.0
39,Rhode Island,872663,5334,5197,3947.0,3810.0,44,2011,10531,7757.0
40,South Carolina,3776148,32730,30640,16382.0,17036.0,45,2011,63370,33418.0
41,South Dakota,655380,5346,5068,3912.0,3331.0,46,2011,10414,7243.0
42,Tennessee,5168315,45693,49893,29228.0,34904.0,47,2011,95586,64132.0
43,Texas,19838518,200593,200595,100353.0,119973.0,48,2011,401188,220326.0
44,Utah,2065211,28704,28270,10354.0,13121.0,49,2011,56974,23475.0
45,Vermont,524589,4342,4605,2837.0,2527.0,50,2011,8947,5364.0
46,Virginia,6556778,58498,52865,32002.0,30050.0,51,2011,111363,62052.0
47,Washington,5516743,53778,50566,32268.0,29470.0,53,2011,104344,61738.0
48,West Virginia,1536058,14269,14159,6996.0,10199.0,54,2011,28428,17195.0
49,Wisconsin,4618557,38079,36712,19312.0,17634.0,55,2011,74791,36946.0
50,Wyoming,454581,5200,4946,2725.0,2340.0,56,2011,10146,5065.0
51,Puerto Rico,2996646,13055,14185,9505.0,11213.0,72,2011,27240,20718.0
52,Alabama,3886060,37523,37737,20713.0,22661.0,01,2012,75260,43374.0
53,Alaska,574398,7008,6757,2528.0,2508.0,02,2012,13765,5036.0
54,Arizona,5203019,45820,45822,21785.0,26519.0,04,2012,91642,48304.0
55,Arkansas,2353968,25045,24951,14629.0,19307.0,05,2012,49996,33936.0
56,California,30416010,248942,239102,111791.0,121956.0,06,2012,488044,233747.0
57,Colorado,4152392,45881,42624,24525.0,24940.0,08,2012,88505,49465.0
58,Delaware,746748,5452,5886,3141.0,4711.0,10,2012,11338,7852.0
59,District of Columbia,539055,5782,5175,2002.0,1955.0,11,2012,10957,3957.0
60,Connecticut,2945674,21108,21537,12596.0,14349.0,09,2012,42645,26945.0
61,Florida,16016557,124740,119315,73650.0,87158.0,12,2012,244055,160808.0
62,Georgia,7830116,79627,75360,40144.0,44214.0,13,2012,154987,84358.0
63,Idaho,1239521,13218,13933,8602.0,6853.0,16,2012,27151,15455.0
64,Hawaii,1137619,10286,10321,3908.0,5201.0,15,2012,20607,9109.0
65,Illinois,10344646,76840,76054,39165.0,47968.0,17,2012,152894,87133.0
66,Indiana,5218923,52902,51238,29236.0,31940.0,18,2012,104140,61176.0
67,Iowa,2472319,23146,22021,12176.0,12297.0,19,2012,45167,24473.0
68,Kansas,2281272,25398,24382,13844.0,15370.0,20,2012,49780,29214.0
69,Kentucky,3530921,33599,34763,20628.0,24102.0,21,2012,68362,44730.0
70,Louisiana,3663532,31969,31961,14413.0,20625.0,22,2012,63930,35038.0
71,Maine,1111822,8207,8860,6766.0,4857.0,23,2012,17067,11623.0
72,Maryland,4773742,40222,39719,21490.0,22685.0,24,2012,79941,44175.0
73,Massachusetts,5498140,41539,40910,19451.0,24401.0,25,2012,82449,43852.0
74,Michigan,8030918,63050,62432,39280.0,39233.0,26,2012,125482,78513.0
75,Minnesota,4315429,37936,37796,16655.0,17815.0,27,2012,75732,34470.0
76,Mississippi,2359979,19301,18861,13158.0,14275.0,28,2012,38162,27433.0
77,Missouri,4856639,48435,46710,26057.0,26349.0,29,2012,95145,52406.0
78,Montana,821687,8100,7917,4137.0,5026.0,30,2012,16017,9163.0
79,Nebraska,1465286,12062,12558,6464.0,6878.0,31,2012,24620,13342.0
80,Nevada,2204567,23591,23158,13779.0,16144.0,32,2012,46749,29923.0
81,New Hampshire,1098030,8135,8721,4925.0,5834.0,33,2012,16856,10759.0
82,New Jersey,7196853,50601,49340,24712.0,24964.0,34,2012,99941,49676.0
83,New Mexico,1654214,15654,12972,7796.0,8550.0,35,2012,28626,16346.0
84,New York,16062969,121945,116787,50837.0,66758.0,36,2012,238732,117595.0
85,North Carolina,7840375,69417,68943,36019.0,38173.0,37,2012,138360,74192.0
86,North Dakota,569837,5857,5146,2682.0,2278.0,38,2012,11003,4960.0
87,Ohio,9351828,74250,76355,41775.0,50848.0,39,2012,150605,92623.0
88,Oklahoma,3026600,33303,31607,19490.0,18790.0,40,2012,64910,38280.0
89,Oregon,3185235,25415,25860,15992.0,19068.0,41,2012,51275,35060.0
90,Pennsylvania,10519780,75192,72439,42160.0,39299.0,42,2012,147631,81459.0
91,Rhode Island,872769,4885,4561,2912.0,4196.0,44,2012,9446,7108.0
92,South Carolina,3818052,37350,36421,18362.0,18005.0,45,2012,73771,36367.0
93,South Dakota,662015,6732,6999,3225.0,3125.0,46,2012,13731,6350.0
94,Tennessee,5216402,53883,52864,31692.0,28050.0,47,2012,106747,59742.0
95,Texas,20202653,204130,198297,100847.0,113421.0,48,2012,402427,214268.0
96,Vermont,525211,2727,2280,2098.0,2046.0,50,2012,5007,4144.0
97,Utah,2100869,30116,28994,11722.0,14935.0,49,2012,59110,26657.0
98,Virginia,6642567,61226,61522,29053.0,31142.0,51,2012,122748,60195.0
99,Washington,5576731,55258,52601,26934.0,30303.0,53,2012,107859,57237.0
100,West Virginia,1535612,13475,13209,9817.0,9807.0,54,2012,26684,19624.0
101,Wisconsin,4634334,35267,36582,19187.0,19520.0,55,2012,71849,38707.0
102,Wyoming,461254,6504,6473,2819.0,3868.0,56,2012,12977,6687.0
103,Puerto Rico,2978546,11927,12701,11096.0,15254.0,72,2012,24628,26350.0
104,Mississippi,2375554,22616,22331,10274.0,14597.0,28,2013,44947,24871.0
105,Missouri,4880485,43129,43716,21797.0,25392.0,29,2013,86845,47189.0
106,Montana,829189,7620,7581,4190.0,4247.0,30,2013,15201,8437.0
107,Nebraska,1478919,15110,13740,7406.0,7146.0,31,2013,28850,14552.0
108,Nevada,2239583,19913,20913,14669.0,10890.0,32,2013,40826,25559.0
109,New Hampshire,1103721,8371,8510,4819.0,5685.0,33,2013,16881,10504.0
110,New Jersey,7232903,51996,49760,22932.0,25951.0,34,2013,101756,48883.0
111,New Mexico,1660531,15842,15111,6096.0,9120.0,35,2013,30953,15216.0
112,New York,16147773,115691,113270,49873.0,56386.0,36,2013,228961,106259.0
113,North Carolina,7938624,74206,70030,33929.0,38538.0,37,2013,144236,72467.0
114,North Dakota,587479,7565,6961,1942.0,2271.0,38,2013,14526,4213.0
115,Ohio,9386353,72424,74772,37661.0,43443.0,39,2013,147196,81104.0
116,Oklahoma,3053500,34913,33805,17856.0,20233.0,40,2013,68718,38089.0
117,Oregon,3219159,26694,26355,14367.0,17952.0,41,2013,53049,32319.0
